"","X","Y","C","Class"
"X1",3.277701,0.814082,0.326573856831138,1
"X2",0.387577,0.17678,0.888045708864652,1
"X3",0.268546,0.582963,0.0809813803530142,1
"X4",2.031145,0.244597,0.64392063197717,1
"X5",0.188677,0.46128,0.496633379643104,1
"X6",3.525472,0.265579,0.138218731427085,1
"X7",2.229583,0.682189,0.478728676224991,1
"X8",3.392074,0.420976,0.987709329412309,1
"X9",3.589815,0.832527,0.306473263373742,1
"X10",1.227873,0.810909,0.544637870254412,1
"X11",1.300699,0.146538,0.367677544409753,1
"X12",3.596968,0.421791,0.036302286964087,1
"X13",3.106757,0.779664,0.385608246956509,1
"X14",0.221139,0.612603,0.340417316158185,1
"X15",1.496841,0.495985,0.780815254049801,1
"X16",2.860498,0.535719,0.57000310797545,1
"X17",1.45071,0.142352,0.650461491902006,1
"X18",1.745799,0.066373,0.558493249926034,1
"X19",1.4048,0.32968,0.789414771922745,1
"X20",1.7696,0.777809,0.4535391544335,1
"X21",0.464511,0.672442,0.323684085216971,1
"X22",2.750803,0.16552,0.260501731246459,1
"X23",1.571006,0.091428,0.543439210922078,1
"X24",1.18166,0.857799,0.372589863576832,1
"X25",0.661957,0.612812,0.324948164701079,1
"X26",0.828567,0.798048,0.176660526517658,1
"X27",3.313914,0.216602,-0.130562289784722,1
"X28",3.625645,0.538592,0.898669005428379,1
"X29",3.611238,0.584716,0.622582095407145,1
"X30",2.904519,0.465036,0.967310487142659,1
"X31",3.080431,0.24549,0.362340242009018,1
"X32",3.851167,0.574214,0.503462992885378,1
"X33",0.944956,0.077006,0.862329087827268,1
"X34",3.834215,0.224878,0.122092768027093,1
"X35",2.179064,0.784896,0.434730113159621,1
"X36",2.716449,0.944268,0.908512654405299,1
"X37",0.02978,0.931252,0.852631742392815,1
"X38",0.095525,0.349743,0.170986462985554,1
"X39",3.835506,0.889721,0.49227095447613,1
"X40",1.142732,0.811691,0.590638452650047,1
"X41",3.747439,0.654886,0.348723404234723,1
"X42",0.948862,0.122011,0.397456679877004,1
