"","X1","X2","X3","Class"
"1",-0.453,-0.891,0.023,1
"2",0.653,-0.846,0.0211,1
"3",0.398,0.913,-0.00139,1
"4",0.0952,1.05,0.00628,1
"5",0.524,-0.941,0.0378,1
"6",-0.0263,1,0.0218,1
"7",0.425,0.908,-0.0285,1
"8",-0.991,-0.275,0.0511,1
"9",-1.01,-0.0353,0.038,1
"10",-0.73,-0.631,-0.0312,1
"11",0.879,0.346,0.0439,1
"12",-0.845,-0.459,0.0849,1
"13",-0.385,0.921,0.00558,1
"14",0.24,0.884,0.048,1
"15",1.03,-0.26,0.0727,1
"16",0.871,0.502,-0.0403,1
"17",-1.02,-0.00556,0.0278,1
"18",0.592,0.787,0.0361,1
"19",0.297,0.946,0.00662,1
"20",-0.832,-0.403,0.0542,1
"21",0.607,-0.782,-0.0182,1
"22",-0.712,-0.739,0.0125,1
"23",-0.537,0.859,0.00197,1
"24",-0.893,-0.42,-0.0108,1
"25",0.0724,-0.913,0.0486,1
"26",0.579,0.819,-0.000759,1
"27",0.866,-0.496,0.00596,1
"28",-0.36,1.03,-0.0163,1
"29",-0.778,-0.603,-0.0865,1
"30",-0.0979,-0.988,0.0224,1
"31",0.887,0.401,0.0486,1
"32",0.754,0.742,-0.0179,1
"33",1.05,-0.0772,0.0238,1
"34",-0.205,-0.956,-0.0306,1
"35",0.797,0.551,0.0313,1
"36",0.807,0.629,-0.0022,1
"37",-0.0722,1.01,-0.0157,1
"38",-0.415,-0.972,0.0199,1
"39",-0.0832,1.09,0.036,1
"40",0.508,-0.794,0.0221,1
"41",-0.238,0.906,-0.0305,1
"42",-0.634,0.689,-0.0258,1
"43",-0.852,-0.596,0.00465,1
"44",-0.573,-0.891,0.0685,1
"45",-0.723,0.712,0.0318,1
"46",-0.677,0.804,-0.00521,1
"47",-0.464,-0.969,-0.0345,1
"48",-0.711,-0.761,-0.0682,1
"49",0.612,0.845,-0.0168,1
"50",-0.58,-0.746,-0.0398,1
"51",0.17,-0.975,0.0132,1
"52",0.769,-0.622,-0.0136,1
"53",-0.293,-0.98,0.0172,1
"54",-0.209,-1,0.0158,1
"55",0.3,-0.965,0.00309,1
"56",-0.0317,-1.04,0.0108,1
"57",0.223,-0.975,0.0138,1
"58",0.91,-0.484,-0.0155,1
"59",0.391,0.884,-0.0276,1
"60",-0.995,-0.0568,0.0362,1
"61",-1.03,0.0244,0.0937,1
"62",-0.0574,1.01,0.00857,1
"63",0.779,0.691,-0.0371,1
"64",0.515,0.836,-0.0268,1
"65",-0.968,0.117,-0.0816,1
"66",-0.891,-0.502,-0.034,1
"67",-1.05,-0.177,-0.0103,1
"68",-0.117,1.06,-0.043,1
"69",-0.652,0.724,0.0177,1
"70",0.776,-0.681,-0.000988,1
"71",0.394,0.939,-0.0246,1
"72",0.491,0.868,0.00246,1
"73",-1.03,-0.31,0.00174,1
"74",0.224,-0.939,-0.032,1
"75",-0.897,0.474,0.023,1
"76",-0.738,0.646,-0.0471,1
"77",0.0433,1.02,0.00162,1
"78",0.633,0.783,0.00724,1
"79",-0.988,-0.335,-0.00411,1
"80",-0.626,0.746,0.0882,1
"81",0.928,0.521,0.0664,1
"82",0.929,0.323,0.047,1
"83",0.549,-0.87,0.0105,1
"84",0.312,-0.902,-0.0209,1
"85",0.379,-0.936,0.0297,1
"86",-0.615,-0.906,-0.0178,1
"87",0.914,-0.575,0.0108,1
"88",-0.73,0.703,0.0105,1
"89",-1.07,-0.0547,-0.043,1
"90",0.949,-0.245,-0.000192,1
"91",-0.171,-0.974,0.0115,1
"92",-0.059,0.93,-0.0718,1
"93",0.499,0.824,0.0589,1
"94",0.355,-0.895,-0.0848,1
"95",0.471,0.851,-0.0613,1
"96",-0.701,0.724,-0.0347,1
"97",-0.987,-0.171,-0.000942,1
"98",0.761,-0.535,-0.0158,1
"99",-0.574,-0.77,-0.0214,1
"100",0.927,0.101,0.0365,1
"101",0.579,-0.772,0.00343,1
"102",-0.654,0.763,0.0445,1
"103",0.427,0.837,-0.0379,1
"104",1.04,0.0493,0.0813,1
"105",-0.979,-0.0505,-0.00902,1
"106",0.398,0.886,-0.0108,1
"107",0.89,0.572,0.0658,1
"108",0.869,-0.419,0.027,1
"109",-0.245,0.925,-0.0189,1
"110",0.936,0.121,0.00446,1
"111",-0.815,0.586,-0.0574,1
"112",-0.971,0.293,-0.00957,1
"113",-0.283,-0.998,-0.0375,1
"114",0.907,-0.417,-0.000365,1
"115",0.728,0.683,-0.00337,1
"116",-0.0941,0.989,-0.011,1
"117",0.428,-0.945,-0.0345,1
"118",-0.796,-0.592,0.0249,1
"119",0.214,-0.975,-0.0105,1
"120",-0.664,0.771,0.0739,1
"121",-0.306,0.857,0.00343,1
"122",1.03,0.224,0.0593,1
"123",0.897,-0.281,0.0528,1
"124",0.857,0.392,0.0508,1
"125",-0.887,0.485,-0.063,1
"126",0.117,-0.99,0.00448,1
"127",-0.943,-0.335,-0.00359,1
"128",-0.896,-0.453,0.00037,1
"129",0.345,-0.954,0.0366,1
"130",-0.687,0.703,-0.0821,1
"131",0.293,-0.973,0.00899,1
"132",-1.01,-0.00601,-0.0289,1
"133",-0.184,-0.929,-0.0111,1
"134",1.04,-0.0431,0.0814,1
"135",0.642,-0.848,-0.0767,1
"136",-0.0802,-0.95,-0.00217,1
"137",-0.315,0.977,0.0554,1
"138",0.968,0.292,0.0813,1
"139",-0.892,-0.376,0.0199,1
"140",0.436,-0.92,-0.0228,1
"141",-0.202,1.02,0.0549,1
"142",-0.886,0.576,-0.00618,1
"143",-0.607,-0.796,-0.0096,1
"144",0.898,-0.349,-0.0155,1
"145",0.637,0.757,0.0147,1
"146",0.854,-0.467,0.0669,1
"147",0.895,0.204,-0.0395,1
"148",-0.777,0.647,0.034,1
"149",0.886,-0.504,0.0233,1
"150",-0.508,-0.86,0.000597,1
"151",0.393,0.934,0.0551,1
"152",0.811,-0.483,-0.0442,1
"153",0.927,0.342,0.0358,1
"154",0.569,-0.746,-0.073,1
"155",0.872,0.315,-0.0539,1
"156",0.204,0.977,0.0308,1
"157",0.915,-0.471,-0.0892,1
"158",-0.45,0.89,0.0207,1
"159",-0.917,-0.462,-0.0724,1
"160",0.408,-0.919,0.0152,1
"161",0.817,0.513,0.0493,1
"162",0.924,-0.478,0.00251,1
"163",-0.111,0.991,0.00817,1
"164",-0.964,0.141,0.0471,1
"165",0.605,-0.889,-0.0337,1
"166",-0.818,-0.553,-0.0356,1
"167",0.837,0.535,0.00956,1
"168",-0.806,-0.609,0.0265,1
"169",0.355,-0.944,-0.00756,1
"170",0.289,0.959,-0.000797,1
"171",-0.729,-0.733,0.0923,1
"172",0.931,0.0353,0.0357,1
"173",0.99,-0.00617,0.0273,1
"174",-0.419,0.863,0.0109,1
"175",-0.64,0.838,0.0239,1
"176",-1,-0.0656,0.0947,1
"177",-0.717,-0.708,0.0596,1
"178",0.886,-0.472,-0.0727,1
"179",-0.037,-1,0.0446,1
"180",-0.789,-0.613,0.00378,1
"181",0.0872,-1,0.0691,1
"182",-0.839,-0.552,0.00118,1
"183",0.753,-0.53,0.0034,1
"184",0.031,-1.02,0.0603,1
"185",-0.736,0.654,-0.0985,1
"186",0.381,-0.927,-0.0489,1
"187",-0.904,-0.31,-0.0608,1
"188",0.89,0.402,0.0918,1
"189",-0.921,-0.281,-0.0392,1
"190",0.602,-0.878,0.0637,1
"191",-0.272,-0.976,0.0527,1
"192",-0.988,-0.0399,0.0373,1
"193",-0.478,0.867,-0.00584,1
"194",-0.995,-0.149,-0.0183,1
"195",0.472,0.829,-0.0743,1
"196",1.02,-0.0731,0.0562,1
"197",-0.197,-0.941,0.023,1
"198",-0.947,0.115,-0.0368,1
"199",0.902,0.557,0.00415,1
"200",-0.776,-0.719,-0.0402,1
"201",0.477,-0.874,-0.0262,1
"202",-1.02,-0.179,0.075,1
"203",0.693,0.632,0.0583,1
"204",-0.459,0.929,0.0306,1
"205",0.119,-1.08,0.0385,1
"206",0.837,0.503,0.068,1
"207",-0.811,0.672,0.00052,1
"208",0.883,0.47,0.000414,1
"209",1.07,-0.0124,-0.0218,1
"210",-0.652,-0.792,0.042,1
"211",-0.991,-0.0248,-0.0954,1
"212",-0.315,-0.882,-0.0183,1
"213",-0.445,-0.926,0.065,1
"214",0.783,-0.573,0.00831,1
"215",0.086,1.06,-0.0705,1
"216",-0.162,-0.987,0.000729,1
"217",-1,0.241,0.0901,1
"218",-0.915,-0.134,-0.0561,1
"219",0.536,0.876,0.0245,1
"220",0.769,0.692,0.0608,1
"221",-0.0207,-1.08,0.0229,1
"222",0.892,-0.464,0.00766,1
"223",0.326,1,0.0109,1
"224",0.0703,1,-0.0169,1
"225",-0.953,-0.0362,-0.0318,1
"226",-1.06,0.104,0.0484,1
"227",0.659,-0.682,0.0562,1
"228",0.626,-0.811,-0.0224,1
"229",-0.938,-0.176,-0.0386,1
"230",-0.67,-0.652,0.0158,1
"231",-0.633,0.816,0.0213,1
"232",0.345,-0.877,-0.0679,1
"233",-0.459,-0.829,0.0692,1
"234",0.827,-0.671,-0.00386,1
"235",-0.404,-0.907,0.0615,1
"236",-0.978,-0.24,-0.00225,1
"237",-0.702,0.69,0.0282,1
"238",0.52,-0.946,-0.0123,1
"239",0.764,0.651,-0.00815,1
"240",0.688,-0.724,0.00145,1
"241",0.564,-0.779,0.0801,1
"242",0.534,0.804,-0.016,1
"243",-0.991,-0.154,0.00802,1
"244",0.524,0.923,0.0107,1
"245",0.991,0.0649,0.0434,1
"246",-0.474,-0.95,0.035,1
"247",-0.871,0.475,0.00698,1
"248",-0.532,0.852,-0.00885,1
"249",0.0484,0.993,0.0476,1
"250",0.444,-0.829,-0.003,1
"251",0.121,-1.02,-0.0715,1
"252",-0.0483,1.09,0.0242,1
"253",0.84,0.374,0.0122,1
"254",-0.69,0.606,-0.0466,1
"255",-0.752,0.717,0.00394,1
"256",-0.131,-1.01,0.00985,1
"257",0.791,0.602,0.0284,1
"258",0.975,-0.465,0.0303,1
"259",-1.02,-0.156,0.026,1
"260",-0.643,0.697,-0.0604,1
"261",-0.985,0.221,0.00622,1
"262",0.137,-0.954,-0.0654,1
"263",-0.967,-0.254,0.000749,1
"264",-0.0104,-0.98,-0.019,1
"265",0.863,-0.531,-0.0401,1
"266",-0.621,-0.869,0.0561,1
"267",-0.993,0.126,-0.00384,1
"268",0.137,1.05,-0.0266,1
"269",-0.728,0.647,-0.0144,1
"270",-0.258,-0.973,0.015,1
"271",1.03,-0.0982,-0.0874,1
"272",0.669,0.696,-0.00736,1
"273",-0.707,0.709,-0.0552,1
"274",0.977,0.213,-0.000199,1
"275",-0.813,-0.614,0.0242,1
"276",-0.475,0.803,-0.0385,1
"277",-0.806,-0.501,-0.0765,1
"278",-0.285,0.925,0.0257,1
"279",0.847,0.593,-0.0577,1
"280",-0.891,-0.305,0.0352,1
"281",-0.179,-1,0.0251,1
"282",-0.868,0.495,0.000919,1
"283",-0.914,0.46,0.0622,1
"284",0.627,0.651,-0.0141,1
"285",-0.414,0.876,-0.0844,1
"286",-0.964,-0.28,-0.0118,1
"287",0.391,0.884,-0.0693,1
"288",-0.938,-0.232,0.0199,1
"289",0.872,0.646,0.0505,1
"290",0.507,-0.877,0.0194,1
"291",0.587,-0.795,0.0673,1
"292",0.605,-0.77,-0.0154,1
"293",-0.98,-0.138,-0.0369,1
"294",0.6,0.791,0.0757,1
"295",1.05,0.029,-0.0106,1
"296",0.987,-0.121,0.0235,1
"297",-0.971,-0.297,0.0215,1
"298",-0.7,0.614,0.0471,1
"299",0.975,0.0887,-0.0287,1
"300",0.378,0.932,-0.0461,1
"301",-1.03,-0.0892,0.0459,1
"302",-1.02,-0.32,-8.77e-05,1
"303",-0.0628,1,-0.00454,1
"304",-0.049,-0.987,-0.000586,1
"305",0.775,0.718,-0.0416,1
"306",1.03,-0.114,0.0341,1
"307",-0.203,-1,0.00453,1
"308",-0.622,-0.784,0.0525,1
"309",0.531,-0.899,-0.0423,1
"310",-0.685,-0.725,-0.00358,1
"311",0.885,0.601,0.037,1
"312",-0.0216,-0.998,0.00931,1
"313",0.37,-0.914,0.0192,1
"314",-0.504,-0.952,-0.0378,1
"315",-0.464,0.87,0.014,1
"316",-0.782,0.557,0.0137,1
"317",-0.202,-0.987,-0.00423,1
"318",0.314,-0.871,-0.00373,1
"319",0.585,-0.819,-0.0171,1
"320",0.449,0.853,0.055,1
"321",0.381,-0.864,0.0647,1
"322",0.283,-1,0.0389,1
"323",0.447,-0.901,0.0838,1
"324",0.974,0.239,0.0351,1
"325",0.594,0.778,-0.0111,1
"326",0.327,0.927,0.000201,1
"327",-0.654,0.713,0.0619,1
"328",0.765,0.696,-0.0698,1
"329",0.903,-0.275,-0.0188,1
"330",-0.595,-0.807,-0.00427,1
"331",-0.639,0.764,-0.0349,1
"332",0.19,0.907,0.0565,1
"333",-0.43,-0.899,-0.0638,1
"334",-0.939,0.484,0.048,1
"335",0.181,1.04,-0.061,1
"336",0.905,-0.286,0.0626,1
"337",0.419,-0.873,-0.0267,1
"338",0.128,0.947,-0.0204,1
"339",-0.41,0.9,-0.0163,1
"340",-0.775,-0.576,0.0923,1
"341",-0.928,0.422,0.035,1
"342",-0.827,-0.503,0.0498,1
"343",-0.0654,-0.924,0.0189,1
"344",0.836,-0.379,0.036,1
"345",-0.854,-0.632,0.0671,1
"346",-0.907,0.318,0.0253,1
"347",0.867,0.523,-0.00343,1
"348",0.856,0.555,-0.0832,1
"349",0.162,1.03,0.00244,1
"350",0.0192,-1.01,0.049,1
"351",-0.188,0.953,0.0188,1
"352",0.735,0.756,0.0325,1
"353",-0.96,-0.275,0.00743,1
"354",-1,0.134,0.0249,1
"355",0.654,0.688,0.0544,1
"356",-0.635,-0.788,-0.0847,1
"357",0.883,-0.377,0.053,1
"358",-0.698,0.671,-0.0331,1
"359",0.593,0.804,-0.00198,1
"360",0.984,0.312,0.0343,1
"361",-0.359,-0.938,0.00506,1
"362",0.781,-0.681,0.0769,1
"363",0.17,0.968,0.00998,1
"364",-0.721,0.671,-0.0169,1
"365",-0.583,0.897,0.0477,1
"366",-0.488,-0.903,0.0478,1
"367",0.177,-0.906,0.00297,1
"368",0.134,-0.98,-0.023,1
"369",0.172,-0.959,0.0109,1
"370",-0.849,-0.616,0.0287,1
"371",0.875,-0.588,-0.0254,1
"372",0.967,-0.23,0.0181,1
"373",0.427,-0.905,-0.000431,1
"374",0.429,-0.869,-0.071,1
"375",0.271,-0.906,-0.0225,1
"376",0.934,-0.0368,0.044,1
"377",-0.993,-0.264,-0.0464,1
"378",0.328,-0.921,0.0279,1
"379",-0.781,0.638,0.00272,1
"380",0.836,-0.623,0.0153,1
"381",0.657,0.809,0.0767,1
"382",0.0858,-1.06,-0.0397,1
"383",-0.183,0.983,-0.00152,1
"384",-0.0836,0.989,-0.00573,1
"385",-0.569,0.819,-0.00293,1
"386",-0.414,0.907,-0.0289,1
"387",0.675,-0.82,-0.0395,1
"388",0.516,-0.866,-0.0296,1
"389",-0.654,-0.793,0.0254,1
"390",-0.45,-0.925,0.0583,1
"391",-0.15,0.992,-0.0399,1
"392",0.835,-0.542,-0.00578,1
"393",-0.995,-0.049,-0.00442,1
"394",0.0474,-1,0.0146,1
"395",0.855,-0.487,-0.0766,1
"396",-0.406,-0.945,0.0846,1
"397",-0.102,0.916,-0.0343,1
"398",-0.661,-0.629,-0.0249,1
"399",-0.713,0.763,0.0838,1
"400",-0.431,-0.88,0.0575,1
"401",-0.494,-0.86,0.014,1
"402",-0.759,0.611,0.0386,1
"403",0.539,0.862,-0.0491,1
"404",-0.19,0.969,-0.0118,1
"405",0.0569,-0.966,-0.00828,1
"406",0.862,-0.609,-0.0237,1
"407",0.374,0.892,-0.0445,1
"408",0.959,-0.19,0.0516,1
"409",1.01,0.156,0.0693,1
"410",-0.925,0.354,0.0172,1
"411",-0.961,-0.26,-0.00323,1
"412",-0.653,0.745,0.00663,1
"413",-0.758,0.727,-0.0836,1
"414",-0.179,-0.912,-0.0128,1
"415",-0.464,0.83,0.0625,1
"416",0.875,-0.43,-0.0428,1
"417",-0.331,-0.937,-0.00794,1
"418",-0.921,-0.304,0.0101,1
"419",-1,-0.09,-0.0253,1
"420",-0.429,-0.905,-0.0561,1
"421",0.425,0.838,0.0283,1
"422",-0.186,0.908,-0.0342,1
"423",-0.81,-0.611,-0.00101,1
"424",-0.827,-0.387,0.000969,1
"425",0.0186,1.01,0.0128,1
"426",-0.998,-0.327,0.00632,1
"427",0.878,0.485,-0.0228,1
"428",-0.609,-0.809,0.0223,1
"429",-0.776,-0.503,-0.0487,1
"430",0.845,0.569,-0.0196,1
"431",-0.773,0.652,0.00587,1
"432",0.688,-0.803,0.0082,1
"433",-0.895,-0.484,-0.0627,1
"434",0.961,0.303,0.0465,1
"435",1.01,0.174,0.0213,1
"436",0.94,-0.338,0.000526,1
"437",0.979,-0.011,0.00361,1
"438",-0.442,-0.897,0.0292,1
"439",0.603,-0.689,0.00673,1
"440",-0.86,-0.496,0.0466,1
"441",-0.573,-0.917,0.0262,1
"442",-0.705,-0.666,-0.0204,1
"443",-1.01,-0.106,-0.0039,1
"444",0.851,0.416,0.0561,1
"445",0.905,0.0292,0.00935,1
"446",-0.633,0.792,0.0319,1
"447",0.519,-0.756,0.0108,1
"448",0.877,0.448,0.00904,1
"449",0.448,-0.924,0.0945,1
"450",-0.394,-0.932,0.0131,1
"451",0.767,-0.574,-0.0175,1
"452",-0.924,-0.391,0.0173,1
"453",-0.542,0.745,-0.0327,1
"454",0.742,-0.555,0.0416,1
"455",0.801,-0.521,-0.00591,1
"456",-0.767,-0.665,0.0454,1
"457",-0.478,-0.767,0.0241,1
"458",0.386,-0.931,-0.000667,1
"459",0.579,0.802,-0.0496,1
"460",-0.407,-0.903,0.0264,1
"461",0.771,-0.631,0.0267,1
"462",-0.954,-0.237,-0.0457,1
"463",-0.661,0.7,-0.0116,1
"464",-0.821,-0.549,0.073,1
"465",0.412,-0.935,0.042,1
"466",0.5,-0.866,0.00687,1
"467",0.45,-0.933,0.0543,1
"468",0.572,0.818,-0.0763,1
"469",-0.604,-0.765,0.00165,1
"470",-0.579,0.815,-0.000644,1
"471",0.804,-0.542,-0.0022,1
"472",0.497,-0.786,-0.000554,1
"473",0.131,-0.993,-0.022,1
"474",-0.434,-0.917,0.014,1
"475",-0.968,0.325,-0.0967,1
