Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.025,72.0%,25,41852,"$199,070,864,638",0.044,$233,451,0.023,0.1,0.08,72,69,0.9,0.272,0.681,0.047,0.682,Africa,Algeria
0.046,52.1%,66,13576,"$104,115,863,405",0.034,$178,282,0.107,0.1,0.188,53,50,0.5,0.477,0.499,0.024,0.409,Africa,Angola
0.037,65.9%,29,3761,"$7,294,900,431",0.045,$34,270,0.06,0,,60,58,0.8,0.432,0.539,0.029,0.423,Africa,Benin
0.024,19.5%,60,2215,"$15,292,424,757",0.052,$404,152,0.039,0.1,0.11,46,47,1.5,0.34,0.625,0.035,0.565,Africa,Botswana
0.042,43.5%,13,,"$10,395,757,480",0.064,$39,270,0.068,0,,56,55,0.5,0.458,0.517,0.025,0.265,Africa,Burkina Faso
0.045,51.6%,13,,"$2,355,652,064",0.09,$21,274,0.059,0,0.132,55,51,0.2,0.44,0.535,0.025,0.109,Africa,Burundi
0.038,48.8%,15,6720,"$25,486,923,059",0.054,$64,654,0.064,0.1,,55,53,0.5,0.432,0.535,0.032,0.521,Africa,Cameroon
0.035,54.6%,22,,"$2,195,599,491",0.039,$19,504,0.1,0,,51,47,0.2,0.404,0.558,0.039,0.39,Africa,Central African Republic
0.047,75.8%,55,,"$12,156,380,062",0.028,$25,732,0.092,0,,51,49,0.3,0.487,0.488,0.025,0.22,Africa,Chad
0.036,217.9%,22,,"$610,372,697",0.036,$31,100,0.061,0.1,0.105,62,59,0.3,0.422,0.549,0.029,0.28,Africa,Comoros
0.044,339.1%,65,24497,"$23,831,631,365",0.061,$15,336,0.09,0,0.438,51,48,0.2,0.453,0.519,0.028,0.404,Africa,"Congo, Dem. Rep."
0.038,65.3%,161,1659,"$14,425,606,793",0.025,$85,606,0.039,0.1,,59,56,0.9,0.423,0.543,0.034,0.637,Africa,"Congo, Rep."
0.037,44.0%,32,11233,"$24,074,553,674",0.068,$84,270,0.075,0,,51,49,0.9,0.417,0.552,0.031,0.513,Africa,Cote d'Ivoire
0.028,37.8%,37,,"$1,239,144,502",0.087,$119,82,0.061,0.1,0.106,62,59,0.2,0.339,0.623,0.038,0.771,Africa,Djibouti
0.024,43.6%,8,77649,"$236,000,735,704",0.049,$137,433,0.019,0.4,0.11,73,68,1.1,0.314,0.631,0.056,0.43,Africa,"Egypt, Arab Rep."
0.036,44.1%,135,,"$15,715,842,151",0.045,"$1,051",492,0.073,0.1,,54,51,0.7,0.391,0.58,0.029,0.393,Africa,Equatorial Guinea
0.038,84.5%,84,765,"$2,607,739,837",0.027,$12,216,0.038,0,,64,59,0,0.431,0.548,0.022,0.21,Africa,Eritrea
0.034,30.3%,15,34064,"$31,367,606,700",0.041,$14,198,0.048,0,,64,61,0.2,0.439,0.528,0.033,0.177,Africa,Ethiopia
0.032,43.5%,57,1997,"$18,796,191,833",0.034,$401,488,0.042,0.1,,64,62,1.5,0.385,0.562,0.053,0.86,Africa,Gabon
0.043,283.2%,27,,"$898,282,866",0.047,$24,376,0.051,0.1,0.28,60,57,0.8,0.459,0.516,0.025,0.57,Africa,"Gambia, The"
0.032,33.4%,12,10550,"$39,564,970,070",0.053,$83,224,0.054,0.1,,62,60,0.9,0.388,0.577,0.035,0.514,Africa,Ghana
0.038,91.2%,40,,"$5,067,360,041",0.06,$27,416,0.069,0,,56,55,0.4,0.427,0.542,0.031,0.353,Africa,Guinea
0.038,45.9%,9,,"$967,762,549",0.063,$35,208,0.082,0,,55,52,0.5,0.417,0.553,0.029,0.461,Africa,Guinea-Bissau
0.036,49.3%,33,20179,"$34,313,315,840",0.044,$35,393,0.05,0.3,0.15,62,59,0.7,0.425,0.549,0.026,0.24,Africa,Kenya
0.028,16.0%,40,,"$2,487,352,968",0.117,$146,324,0.073,0,0.104,48,48,0.6,0.372,0.586,0.042,0.253,Africa,Lesotho
0.037,42.9%,6,,"$1,537,753,885",0.156,$59,158,0.058,0,0.138,61,59,0.5,0.432,0.537,0.031,0.482,Africa,Liberia
0.022,,,13342,"$34,699,395,524",0.039,$211,,0.014,0.1,0.06,77,73,1.6,0.294,0.659,0.046,0.778,Africa,Libya
0.035,37.1%,8,,"$9,853,981,624",0.041,$19,201,0.042,0,0.525,65,62,0.4,0.431,0.541,0.028,0.326,Africa,Madagascar
0.04,29.0%,39,,"$5,627,898,037",0.083,$30,157,0.049,0,0.238,54,54,0.3,0.456,0.512,0.031,0.157,Africa,Malawi
0.048,51.1%,8,,"$10,647,545,670",0.068,$51,270,0.081,0,,54,54,0.8,0.47,0.502,0.029,0.368,Africa,Mali
0.035,68.2%,19,,"$4,136,083,856",0.059,$51,696,0.069,0,0.17,63,60,0.9,0.404,0.565,0.031,0.573,Africa,Mauritania
0.011,27.7%,6,,"$11,252,405,860",0.049,$450,161,0.013,0.4,0.089,77,70,1,0.206,0.713,0.08,0.404,Africa,Mauritius
0.022,49.6%,12,17283,"$99,211,339,029",0.063,$195,238,0.028,0.5,,72,69,1.1,0.279,0.671,0.05,0.582,Africa,Morocco
